id	case_no	Year	year1	pilot	commencement	status 	enddate	duration_mths	disposition	DH_no	OP_affi 	co_extract	affi_facts	value_est	med_ord_date	time_to_med	no_pl_affis	length_pl_affi	alleg_time	family_context	pers_rel_breakdown	former_partnership	joint_venture	deregdate	end2death_m	co_reg_date	b2dy	birth2death_m	Business_nature	postcode_pl	role_notes	pl_lawyers	ACN_co	asic_status	codeath	type_co	shares_no	members_no	dirs_no	regdate_to_commencement_mths	co_status	grounds_no	mthstomed	wkstomed	mthsdur	wksdur	regtocom_yrs	ANZSIC code	medorddt	medord	role_in_co	director(curr_past)	rel_a	rel_b	rel_c	rel_d	rel_e	rel_f	rel_g	rel_h	rel_i	rel_j	re_l	rel_s461	gender_pl
66	S CI 2012 01569	2012	2011-12	0	21/03/2012	0	15/11/2012	11	0	6	1	0	1	0	17/07/2012	4	4	38	28	0	.	0	0			30/05/2006			Intellectual property lawyers and patent attorneys	"Turramurra, 2074"	also principal from 1991-2009	"Dilanchian Lawyers, Sydney, 2000"	119 957 449	registered	0	Private Company	.	.	.	74	0	4	3.920265781	16.85714286	7.940199336	34.14285714	5.82967033	69310	17/07/2012	1	0		1			1	1					1			0
67	S CI 2012 02148	2012	2011-12	0	16/04/2012	0	20/09/2012	5	0	5	1	0	1	0	27/04/2012	0	1	9	48	0	.	0	0	23/07/2017	58	14/02/2003	14	173	manufacture of patented pressurised regulating device for pressurised dispensing vessel	Doncaster 3108	director	Burdon-Smith & Associates Balnarring 3926	103740709	deregistered	1	Private Company	130406	.	.	110	0	2	0.365448505	1.571428571	5.215946844	22.42857143	9.200549451	24630	27/04/2012	1	0	1									1	1			0
68	S CI 2012 02244	2012	2011-12	0	19/04/2012	0	28/02/2013	10	0	7	1	1	1	1	25/10/2012	6	3	53	180	0	.	0	0			24/06/1996			coffex coffee grinding and roastin	Bulleen 3105	former director / MD	"Mitrakas, Savas & Co Armadale 3143"	074539423	registered	0	Private Company	990000	5	5	194	0	5	6.279069767	27	10.46511628	45	15.87362637	11990	25/10/2012	1	0	1	1			1	1		1			1			0
69	S CI 2012 02302	2012	2011-12	0	24/04/2012	0	10/05/2016	48	0	3	1	1	1	0	25/05/2012	1	3	56	15	1	.	1	1			6/12/2004			importing and printing merchandise	Rischmond 3121	director and employee	Varrasso & Associates Melbourne 3000	112087591	registered	0	private company	100	2	2	92	0	11	1.029900332	4.428571429	49.06976744	211	7.406593407	13340	25/05/2012	1	1	1			1	1	1								0
70	S CI 2012 02856	2012	2011-12	0	18/05/2012	0	1/07/2016	50	0	22	1	1	1	0	15/06/2012	1	2	12	12	0	0	0	0			3/05/2011			property development	Sunbury 3429		Harris Carlson Lawyers Melbourne 3000	150 694 572	registered	0	private company	4500000	2	3	12	0	9	0.930232558	4	50	215	1.046703297	32110	15/06/2012	1	.					1	1				1				.
71	S CI 2012 02987	2012	2011-12	0	24/05/2012	0	22/06/2012	1	0	0	1	1	1	0	.	999	1	13	27	0	.	1	1	11/10/2015	39	14/05/2007	8	100	Burger restaurants (chain)	Warragul 3820		Marsh and Maher Melbourne 3000	125378136	deregistered	1	private company	120	4	2	60	1	5	.	.	0.96345515	4.142857143	5.046703297	45110	.	0	0					1	1					1			.
72	S CI 2012 03342	2012	2011-12	0	13/06/2012	0	26/05/2014	25	0	0	1	1	1	0	29/06/2012	1	7	28	11	0	.	1	1	12/10/2014	4	13/05/2011	3	40	dog daycare and grooming	Prahran 3181		Peter G Richards Melbourne 3000	150898285	deregistered	1	private company	100	2	2	13	1	6	0.531561462	2.285714286	23.65448505	101.7142857	1.090659341	95399	29/06/2012	1	0		1			1	1	1			1	1		1	.
73	S CI 2012 03528	2012	2011-12	0	21/06/2012	0	17/06/2013	12	0	5	0	0	999	999	6/08/2012	2	0	.	.	.	.	.	.			18/04/1997			aged care/ nursing homes	unknown		Findlay Arthur Phillips Lawyers South Yarra 3141	078262512	registered	0	private company	.	.	.	182	0	3	1.528239203	6.571428571	11.99335548	51.57142857	15.22802198	86011	6/08/2012	1	.					1	1								0
74	S CI 2012 03129	2012	2011-12	0	31/05/2012	0	26/11/2012	6	0	3	1	1	1	0	22/06/2012	0	1	7	16	0	1	0	0			20/03/1991			"trustee of a unit trust, and conducts franchises Barry Plant Mill Park and Barry Plant South Morang"	"Mill Park, 3082"		"Ausfund Legal Pty Ltd, t/as Dellios, West and Co, Fairfield 3078"	051459486	registered	0	Private Company	10	2	2	158	0	5	0.73089701	3.142857143	5.946843854	25.57142857	21.27197802	62400	22/06/2012	1	0	1	1			1	1					1			0
75	S CI 2012 03431	2012	2011-12	0	18/06/2012	0	5/02/2013	8	0	1	1	1	1	0	19/06/2012	0	2	5	7	0	.	0	0	12/08/2018	66	20/03/2009	9	112	provision of stockbroking and financial planning services	"Neerim East, 3831"		"Donaldson Trumble Lawyers, Melbourne, 3000"	135 975 807	deregistered	1	Private Company	.	.	.	39	0	4	0.033222591	0.142857143	8	33	3.258241758	64110	19/06/2012	1	0	1	1			1	1						1		0
76	S CI 2012 03857	2012	2011-12	0	6/07/2012	0	15/07/2015	12	1	8	1	0	1	0	.	999	2	26	30	0	1	0	0			24/09/2004			Café and food business	"Templestowe Lower, 3107"		Lennon Mazzeo Lawyers Melbourne 3000	111 119 914	registered	0	Private Company	.	3	2	93	0		.	.	36.67774086	157.7142857	7.807692308	45110	.	0	0	1				1	1								0
77	S CI 2012 03899	2012	2011-12	0	10/07/2012	0	31/10/2012	4	0	1	0	0	999	999	.	999	1	6	.	.	.	.	.	12/09/2019	82	31/05/2007	12	147	engineering	unknown		Campbell & Shaw Oakleigh 3166	125704814	deregistered	1	private company	.	.	.	62	0	2	.	.	3.754152824	16.14285714	5.129120879	69230	.	0	0		1					1						1	.
78	S CI 2012 03966	2012	2011-12	0	12/07/2012	0	15/10/2013	15	0	4	1	0	0	1	17/08/2012	1	3	16	72	0	.	0	0			26/05/1998			Financial services	"East Bentleigh, 3165"		"Hunt and Hunt, Melbourne, 3000"	827 642 225	registered	0	Private Company	2667	3	2	170	1	1	1.196013289	5.142857143	15	66	14.17857143	64190	17/08/2012	1	0					1	1								0
79	S CI 2012 04176	2012	2011-12	0	20/07/2012	0	19/11/2012	4	0	2	1	1	1	0	23/07/2012	0	1	9	1	1	.	0	1	20/01/2016	38	12/06/2001	14	175	wholesale butchery	Hawthorn East 3123	dir/MD	Nicholas Weston Melbourne 3000	097107394	deregistered	1	Private Company	100	2	2	133	1	3	0.099667774	0.428571429	4.053156146	17.42857143	11.14285714	36020	23/07/2012	1	0	1				1	1	1				1		1	0
80	S CI 2012 04740	2012	2011-12	0	17/08/2012	0	20/09/2012	1	0	2	1	0	1	0	.	999	1	2	1	0	.	0	0	26/08/2015	35	8/03/2005	10	125	manufacturing	Warrandyte 3113		Tolhurst Druce & Emmerson Melbourne 3000	113285493	deregistered	1	private company	.	14	.	89	1	2	.	.	1.129568106	4.857142857	7.46978022	11000	.	0	0			1								1			0
81	S CI 2012 05221	2012	2012-13	0	13/09/2012	0	4/04/2013	7	0	2	1	0	1	1	27/09/2012	0	2	37	31	0	1	0	1	24/05/2015	25	17/07/2007	7	94	Indoor sports centre	Warrandyte 3114	director	Harris Carlson Lawyers Melbourne 3000	126589955	deregistered	1	private company	.	2	2	62	0	7	0.465116279	2	6.744186047	29	5.178571429	91139	27/09/2012	1	1	1	1			1	1							1	0
82	S CI 2012 05552	2012	2012-13	0	2/10/2012	0	13/11/2013	13	0	9	0	0	999	999	.	999	.	.	.	.	.	.	.	22/10/2017	47	7/05/2010	7	89	operating of several aged care facilities	Patterson Lakes 3197	direcotr and secretary and employee	King & Wood Mallesons Melbourne 3000	143533206	deregistered	1	private company	.	.	.	5	0	4	.	.	13.52159468	58.14285714	2.414835165	91139	.	0	.	1							1		1				0
83	S CI 2012 05820	2012	2012-13	0	16/10/2012	0	8/05/2015	31	1	0	0	0	999	999	.	999	0	.	.	.	.	.	.			13/01/2005			earthmoving business	Unknown		.	112 479 491			.	200	.	2	.	.	3	.	.	31.02990033	133.4285714	7.782967033	32120	.	0	0		1			1	1		1					1	.
84	S CI 2012 06268	2012	2012-13	0	8/11/2012	0	7/03/2013	4	0	1	1	1	1	0	.	999	3	17	22	0	.	1	1	03/09/2016	41	14/01/2011	5	67	executive support recruitment business	Ormond 3204	former director and employee	Clamenz Evans Ellis Lawyers Melbourne 3000	148209616	deregistered	1	private company	100	2	1	22	1	5	.	.	3.953488372	17	1.824175824	72110	.	0	0	1	1		1					1	1			1	1
85	S CI 2012 06357	2012	2012-13	0	14/11/2012	0	6/06/2013	7	0	0	1	1	1	0	30/11/2012	0	5	34	24	0	1	1	1			12/11/2010			supply of hairdressing products to salons	Black Rock 3193	director and secretary	Tasiopoulos Lambros & Co Melbourne 3000	147329351	registered	0	private company	100	2	2	24	0	6	0.531561462	2.285714286	6.777408638	29.14285714	2.013736264	37200	30/11/2012	1	2	1	1			1	1							1	0
86	S CI 2012 06509	2012	2012-13	0	23/11/2012	0	29/05/2013	6	0	2	1	1	1	0	14/12/2012	2	2	59	54	1	1	1	.			1/09/1999			information technology and software development in the health industry	"Moonee Ponds, 3039 and South Melbourne, 3205"		"Abraham Meese Solicitors, Melbourne, 3000"	089 345 157	registered	0	Private Company	300	3	3	159	0		0.697674419	3	6.212624585	26.71428571	13.27472527	70000	14/12/2012	1	0	1				1	1								0
87	S CI 2012 06539	2012	2012-13	0	26/11/2012	0	6/05/2013	6	0	2	1	1	1	0	.	999	1	11	72	1	.	0	0			15/06/1995			trustee	Durham Ox 3576	director	Barker & Associates Kerang 3579	069722621	registered	0	private company	300	4	5	209	0	5	.	.	5.348837209	23	17.51098901	64190	.	0	0	1	1									1		1	0
88	S CI 2012 06721	2012	2012-13	0	3/12/2012	0	19/09/2014	22	.	6	1	0	1	0	14/12/2012	0	2	18	15	1	.	0	0	16/12/2018	50	2/09/1969	49	591	own and manage properties	templestowe 3106	director and empmloyee	"Kliger Partners, Melbourne, 3000"	004789771	deregistered	1	Private Company	10000	6	3	537	1	5	0.365448505	1.571428571	21.76079734	93.57142857	43.4010989	67200	14/12/2012	1	0	1	1			1	1				1	1		1	0
89	S CI 2012 06827	2012	2012-13	0	7/12/2012	0	9/10/2014	22	0	5	1	1	1	0	25/01/2013	2	1	11	132	1	1	0	0	24/03/2017	29	2/11/2001	15	184	Property development	"Kingsbury, 3038"		"Victor C. Andreou, Melbourne, 3000"	098 638 816	deregistered	1	Private Company	12	4	2	133	0		1.627906977	7	22.2923588	95.85714286	11.13461538	32110	25/01/2013	1	0	1	1			1	1								1
90	S CI 2012 06847	2012	2012-13	0	7/12/2012	0	9/05/2013	5	0	3	1	1	1	1	20/12/2012	0	4	43	7	0	1	1	1			23/02/2007			managing agent of trust partnership	Newport 3015	director and secretary	JA Lawyers Pty Ltd Windsor 3181	124110185	registered	0	private company	12	3	3	70	0	6	0.431893688	1.857142857	5.083056478	21.85714286	5.807692308	62400	20/12/2012	1	0	1	1		1	1	1			1				1	0
91	S CI 2012 06874	2012	2012-13	0	10/12/2012	0	21/12/2012	0	0	0	1	1	1	0	14/12/2012	0	1	27	12	1	.	0	0			29/05/2001			trustee of aged care facilities	Blackburn 3130	director	Scanlan Carroll Lawyers Kew 3101	110600032	registered	0	private company	60	3	3	139	0	8	0.132890365	0.571428571	0.365448505	1.571428571	11.57417582	64190	14/12/2012	1	0	1				1	1				1				0
92	S CI 2012 06914	2012	2012-13	0	11/12/2012	0	20/12/2012	1	0	0	1	1	1	1	.	999	1	34	12	1	1	0	0			25/11/1999			Construction and building maintenance	"Diamond Creek, 3089"		Madgwicks Lawyers Melbourne 3000	090 688 878	registered	0	Private Company	100	2	2	157	0		.	.	0.299003322	1.285714286	13.09065934	30190	.	0	1	1				1	1								1
93	S CI 2012 06922	2012	2012-13	0	12/12/2012	0	8/03/2013	3	0	3	1	0	1	0	.	999	1	14	24	0	1	0	0			27/01/2010			Construction	"Attwood, 3049"		Lennon Mazzeo Lawyers Melbourne 3000	141 690 208	registered	0	Private Company	12	2	2	35	0		.	.	2.857142857	12.28571429	2.884615385	30190	.	0	1	1				1	1								0
94	S CI 2012 0700	2012	2012-13	0	14/12/2012	0	20/07/2015	31	.	4	1	1	1	0	25-Jan-13	1	4	20	3	0	0	0	1	04/07/2018	35	4/06/2006	12	145	engineering and manufacture	Mount Duneed 3217	"former director, former secretary, CFO"	Harwood Andrews Lawyers Geelong 3220	100795104	deregistered	1	Private Company	53055750	.	5	126	0	3	1.395348837	6	31.49501661	135.4285714	6.552197802	69200	25/01/2013	1	0	1				1	1								0
97	S CI 2012 07184	2012	2012-13	0	24/12/2012	0	16/08/2013	8	0	5	1	1	1	0	.	999	1	.	16	1	1	0	0			21/12/2005			Wholesale and retail bakery	"Narre Warren, 3804"		"TSA Lawyers, Ringwood, 3134"	117 659 097	registered	0	Private Company	4	3	2	84	0		.	.	7.80730897	33.57142857	7.032967033	36090	.	0	0	1	1			1	1								0
98	S CI 2013 00705	2013	2012-13	0	14/02/2013	0	29/10/2013	8	1	1	1	1	1	1	.	999	3	18	15	0	1	0	1			20/04/2010			technology development in the energy industry	Preston 3072	director	Mills Oakley Lawyers Melbourne 3000	143232259	registered	0	Private Company	660431611	27	5	34	0	3	.	.	8.53820598	36.71428571	2.832417582	70000	.	0	1	1	1								1	1		1	0
99	S CI 2013 01261	2013	2012-13	0	15/03/2013	0	16/07/2013	4	1	2	1	1	1	0	19-Apr-13	1	2	19	1	0	0	0	1			15/07/2009			Radiology service	Ballarat 3350	director	Compact Commercial Law Ballarat 3350	138302235	registered	0	Private Company	5	5	5	44	0	4	1.162790698	5	4.086378738	17.57142857	3.678571429	85209	19/04/2013	1	0	1				1	1				1				0
100	S CI 2013 01669	2013	2012-13	0	5/04/2013	0	25/09/2013	10	0	1	1	0	1	0	26/04/2013	0	1	35	46	0	1	0	0			15/09/2008			"Air conditioning / cooling systems design, installation, maintenance"	"Yamba, 2464"		"D S McKay and Associates, Malvern East, 3145"	133 241 988	registered	0	Private Company	300	2	1	55	0		0.697674419	3	5.747508306	24.71428571	4.568681319	32330	26/04/2013	1	1					1	1		1			1			0
101	S CI 2013 01964	2013	2012-13	0	18/04/2013	0	.	.	0	.	1	1	1	0	.	999	4	93	162	1	1	0	0	18/03/2019		29/06/2004	14	176	"Manufacturing, wholesale, distribution and exporting carpets globally"	"Curlewis, 3222"		"Maddocks Lawyers, Melbourne, 3000"	109 036 580	deregistered	1	Private Company	4835000	3	2	106	0	6	.	.	.	.	8.832417582	13310	.	0	0	1				1	1						1		1
102	S CI 2013 02337	2013	2012-13	0	8/05/2013	0	23/07/2014	27	0	7	1	0	1	1	10/05/2013	0	3	19	16	0	1	0	0	13/12/2017	40	10/05/2009	8	103	"Advisory, capital and asset management"	"Doncaster, 3108"		"Marshalls + Dent, Melbourne, 3000"	136 871 915	deregistered	1	Private Company	1200	.	.	48	0	2	0.066445183	0.285714286	14.65116279	63	4.008241758	64190	10/05/2013	1	0					1	1					1	1		1
103	S CI 2013 02724	2013	2012-13	0	29/05/2013	0	28/11/2013	6	0	3	1	0	1	0	7/06/2013	0	4	39	36	0	0	0	0			8/06/2011			Manufacturing and distribution	Unknown		Madgwicks Lawyers Melbourne 3000	097 084 690	registered	0	Private Company	.	.	.	48	0	6	0.299003322	1.285714286	6.079734219	26.14285714	1.980769231	11000	7/06/2013	1	4		1		1	1	1	1	1				1		0
104	S CI 2013 03027	2013	2012-13	0	14/06/2013	0	16/04/2014	10	0	2	1	1	0	0	.	999	1	2	1	1	1	0	0			23/12/1999			Design and construction of property	"Port Melbourne, 3207"	Current director and employee	"Davies Lawyers, Hampton, 3188"	091 032 530	registered	0	Private Company	1000	3	3	162	0	3	.	.	10.16611296	43.71428571	13.52197802	30110	.	0	0	1				1	1				1				0
105	S CI 2013 03075	2013	2012-13	0	17/06/2013	0	1/05/2014	10	0	1	1	0	1	0	.	999	1	24	30	1	1	0	0	14/02/2019	57	24/06/2008	10	127	Real estate	"Mornington, 3931"	Current director and employee (CEO)	Lennon Mazzeo Lawyers Melbourne 3000	131 821 264	deregistered	1	Private Company	.	.	.	60	2	3	.	.	10.56478405	45.42857143	4.997252747	67200	.	0	0	1											1		0
106	S CI 2013 03305	2013	2012-13	0	27/06/2013	0	22/09/2014	15	0	5	1	0	0	0	16/08/2013	2	1	3	.	0	.	0	0			28/11/2001			Optometry group	"Toorak, 3142 "	Current director	"Herbert Smith Freehills, Melbourne, 3000"	098 890 816	registered	0	Private Company	.	.	.	19	0	6	1.661129568	7.142857143	15.0166113	64.57142857	11.61813187	85320	16/08/2013	1	0	1									1	1			0
107	S CI 2013 03826	2013	2012-13	0	26/07/2013	0	21/09/2015	26	999	4	1	1	1	0	20/09/2013	2	2	20	24	0	1	0	0			7/03/2011			Import/export of groceries and grocery stores	"Cranbourne, 3977"	Current director and employee	"Plaiche & Martin Lawyers, Dandenong, 3175"	149 913 726	registered	0	Private Company	10	2	2	28	0	6	1.860465116	8	26.1461794	112.4285714	2.395604396	41100	20/09/2013	1	1	1				1	1								0
108	S CI 2013 03924	2013	2012-13	0	31/07/2013	0	1/08/2014	13	1	7	1	0	1	1	27/09/2013	2	1	17	18	0	0	1	1			24/03/1994			design	Mitcham 3132	director	Piper Alderman Melbourne 3000	064059641	registered	0	private company	.	2	2	232	0	3	1.926910299	8.285714286	12.15946844	52.28571429	19.42032967	.	27/09/2013	1	1	1											1		0
109	S CI 2013 04594	2013	2013-14	0	3/09/2013	0	13/09/2013	0	0	0	1	0	1	0	6/09/2013	0	1	11	3	0	0	0	0			17/06/1999			Briquette manufacturer	"Oakleigh, 3166"	Current director	"MCP Commercial Lawyers, Melbourne, 3000"	088 126 756	registered	0	Private Company	20600000	3	1	171	0	3	0.099667774	0.428571429	0.332225914	1.428571429	14.26373626	17090	6/09/2013	1	0	1				1	1				1				0
110	S CI 2013 05665	2013	2013-14	0	30/10/2013	0	26/09/2014	11	0	0	1	0	1	1	15/11/2013	1	2	37	78	0	1	0	1			1/06/2000			fruit growing	Auckland NZ 1051	former director	B2B Lawyers East Melbourne 3002	093152866	registered	0	private company	10001	13	.	160	0	5	0.531561462	2.285714286	10.99667774	47.28571429	13.45879121	1390	15/11/2013	1	0	1	1			1	1							1	0
111	S CI 2013 05786	2013	2013-14	0	7/11/2013	0	13/06/2014	7	0	3	1	0	1	0	21/11/2013	0	4	20	60	0	.	0	1			29/05/1998			running a tourist attraction (maze)	Toorak 3142	director	Logie-Smith Lanyon Melbourne 3000	082803156	registered	0	private company	.	3	4	186	0	8	0.465116279	2	7.242524917	31.14285714	15.49725275	91310	21/11/2013	1	2	1				1	1					1			0
112	S CI 2013 05859	2013	2013-14	0	12/11/2013	0	2/08/2014	9	0	11	1	0	1	1	7/03/2014	4	4	22	21	1	.	0	0			24/06/2011			building structures sub-contracted to builders	Williamstown 3016	director	Glezer Lanteri & Associates Melbourne 3000	151708771	registered	0	private company	200	.	3	29	0	10	3.820598007	16.42857143	8.737541528	37.57142857	2.395604396	30190	7/03/2014	1	0	1	1		1	1	1	1						1	0
113	S CI 2013 05944	2013	2013-14	0	15/11/2013	0	11/06/2014	7	0	1	1	1	1	1	.	999	2	21	38	1	.	0	0			17/01/2001			consultancy and advice re international education	"Chandigarh, India"	former director	"Saundh, Singh &Smith Coburg 3058"	095635831	registered	0	Private Company	2	1	1	167	0	11	.	.	6.910299003	29.71428571	12.87087912	81020	.	0	1	1	1								1				1
114	S CI 2013 06280	2013	2013-14	0	3/12/2013	0	16/05/2014	5	0	4	1	0	1	0	11/12/2013	0	1	58	6	0	1	0	0			6/06/2008			"Building, surveying and associated activities"	"New Gisborne, 3438"	Current director and chairman	"Atlus Lawyers, Melbourne, 3000"	131 489 686	registered	0	Private Company	.	.	.	66	0	4	0.265780731	1.142857143	5.448504983	23.42857143	5.510989011	69220	11/12/2013	1	0	1				1	1				1				0
115	S CI 2013 06340	2013	2013-14	0	6/12/2013	0	10/04/2015	16	0	7	1	1	1	0	7/02/2014	2	5	19	36	1	1	0	0			24/02/1982			graphic design and advertising	South Yarra 3141	director	MAE Lawyers Hawthorn 3122	005977202	registered	0	Private Company	68000	3	3	382	0	10	2.093023256	9	16.27906977	70	31.89010989	69240	7/02/2014	1	0	1				1	1					1			1
116	S CI 2013 06377	2013	2013-14	0	10/12/2013	0	8/05/2014	5	0	2	1	0	0	0	7/02/2014	2	1	32	42	0	1	0	0			20/04/2007			Supply of pharmaceuticals	"Camberwell, 3124"		"Kilger Partners, Melbourne, 3000"	124 728 892	registered	0	Private Company	100	2	2	78	0		1.96013289	8.428571429	4.950166113	21.28571429	6.664835165	37200	7/02/2014	1	1		1			1	1								0
117	S CI 2013 06456	2013	2013-14	0	13/12/2013	0	13/03/2014	3	0	2	1	0	1	0	6/02/2014	2	2	13	24	1	1	1	1			3/04/1997			trustee and farming business - livestock trading and primary production	Riverside 3401	director and secretary	Madgwicks Lawyers Melbourne 3000	078086398	registered	0	Private Company	18	2	2	200	0	1	1.827242525	7.857142857	2.990033223	12.85714286	16.75274725	64190	6/02/2014	1	1	1	1		1							1		1	0
118	S CI 2013 06485	2013	2013-14	0	16/12/2013	0	4/04/2014	4	0	2	1	1	1	0	21/02/2014	2	2	6	39	0	1	0	1	12/05/2019	61	31/08/2005	13	164	Import and selling fuel storage containers	"Keysborough, 3173"		"M.P Lanza Lawyers, Carlton, 3053"	116 031 746	deregistered	1	Private Company	.	2	2	101	0		2.225913621	9.571428571	3.621262458	15.57142857	8.321428571	53090	21/02/2014	1	1	1	1			1	1					1			1
119	S CI 2014 00159	2014	2013-14	0	16/01/2014	0	.	.	1	5	1	0	0	0	2/06/2014	5	.	1	.	.	.	.	.	05/09/2016		12/04/2011	5	64	Unknown	"Doncaster, 3107"		"Dino De Marchi Assoc, Brunswick, 3056"	150 424 847	deregistered	1	Private Company	.	.	.	33	0	Unknown	4.551495017	19.57142857	.	.	2.774725275	.	2/06/2014	1	.					1	1								0
120	S CI 2014 00161	2014	2013-14	0	16/01/2014	0	16/03/2015	14	1	5	1	0	0	0	3/06/2014	5	.	1	.	.	.	.	.	05/09/2016	17	13/04/2011	5	64	Unknown	"Doncaster, 3108"		"Dino De Marchi Assoc, Brunswick, 3056"	150 422 754	deregistered	1	Private Company	.	.	.	33	0	Unknown	4.584717608	19.71428571	14.08637874	60.57142857	2.771978022	.	3/06/2014	1	.					1	1								0
121	S CI 2014 01063	2014	2013-14	0	11/03/2014	0	24/07/2014	4	0	0	1	1	1	1	18/05/2014	2	1	15	3	0	.	0	0			28/04/1999			"design, manufacture and supply of technology for remote alarm systems - security"	Lower Plenty 3093	former director	ICA Lawyers Camberwell 3124	087318358	registered	0	private company	171600	9	3	179	0	6	2.259136213	9.714285714	4.485049834	19.28571429	14.92032967	24290	18/05/2014	1	0	1	1			1	1				1			1	0
122	S CI 2014 01363	2014	2013-14	0	25/03/2014	0	27/07/2017	40	0	3	1	0	1	0	11/04/2014	1	8	64	180	1	1	0	0	04/07/2018	11	8/06/1982	36	432	trustee	Applecross 6153	director	Robert M Phelan & Co Pty Essendon 3040	006045718	deregistered	1	private company	4	3	2	381	0	8	0.564784053	2.428571429	40.53156146	174.2857143	31.90384615	64190	11/04/2014	1	0	1	1								1			1	0
123	S CI 2014 01690	2014	2013-14	0	10/04/2014	0	9/06/2015	14	0	3	1	0	1	0	4/05/2015	13	9	125	40	0	.	0	1			1/02/2003			wholesale milk distribution	Point Cook 3030	director	Kelly Hazel Quill Lawyers Melbourne 3000	103573806	registered	0	Private Company	1200	3	3	134	0	10	12.92358804	55.57142857	14.11960133	60.71428571	11.22527473	36030	4/05/2015	1	0	1	1			1	1		1			1		1	0
124	S CI 2014 01764	2014	2013-14	0	14/04/2014	0	6/10/2014	6	0	2	1	1	1	1	15/09/2014	5	2	15	84	0	.	1	0			17/02/1994			Loan broker for home loans and commercial finance	"South Yarra, 3141"		"Flower Magnussen, Narre Warren 3805"	063587968			Private Company	200	5	3	122	0		5.11627907	22	5.813953488	25	20.22252747	64190	15/09/2014	1	2		1			1	1								1
125	S CI 2014 02383	2014	2013-14	0	16/05/2014	0	16/10/2014	5	0	1	1	0	1	0	2/06/2014	1	4	41	8	1	.	0	0	16/12/2015	14	1/11/2002	13	157	property ownership	Mont Albert 1327	director	Canaan Lawyers Melbourne 3000	102703300	deregistered	1	Private Company	.	3	3	138	1	4	0.564784053	2.428571429	5.083056478	21.85714286	11.57692308	67110	2/06/2014	1	0	1				1	1				1	1			0
126	S CI 2014 02406	2014	2013-14	0	16/05/2014	0	29/09/2015	16	0	7	1	0	1	0	13/06/2014	1	8	32	29	0	.	0	1			29/06/2010			family day care	Nth Melbourne 3051	director	Starnet Legal Pty Ltd Brunswick east 3057	144918703	external administration	1	private company	2	2	2	47	2	9	0.930232558	4	16.64451827	71.57142857	3.892857143	87100	13/06/2014	1	1	1	1									1		1	0
127	S CI 2014 02424	2014	2013-14	0	19/05/2014	0	24/02/2015	9	0	6	1	1	1	0	13/11/2014	6	1	54	42	0	.	1	1	28/01/2018	35	20/08/2010	7	89	laser and skin clinics	Greensborough 3088	former MD	Rosendorff Lawyers Melbourne3000	145898746	deregistered	1	private company	1200	2	2	45	2	6	5.913621262	25.42857143	9.335548173	40.14285714	3.758241758	95110	13/11/2014	1	1	1	1			1	1			1				1	0
128	S CI 2014 02612	2014	2013-14	0	28/05/2014	0	31/07/2014	2	0	2	1	0	1	0	20/06/2014	1	2	9	11	0	1	0	1	20/08/2017	36	25/03/2013	4	52	HOSPITALITY (HOTEL AND BAR)	Moonee Ponds 3039	employee	Theobald Lawyers Nagambie 3608	163011096	deregistered	1	Private Company	6	2	1	14	1	5	0.764119601	3.285714286	2.126245847	9.142857143	1.178571429	45200	20/06/2014	1	1		1			1	1					1		1	0
129	S CI 2014 02877	2014	2013-14	0	11/06/2014	0	22/07/2014	1	0	0	1	1	1	0	17/06/2014	0	2	78	12	1	1	0	0	16/09/2019	61	29/04/2013	6	76	Real estate agency	"Springvale, 3171"	Current director and employee	"Fleming & Rhoden Solicitors, Dandenong, 3175"	163 500 892	deregistered	1	Private Company	200	3	3	13	0	5	0	1	1.362126246	5.857142857	1.120879121	67200	17/06/2014	1	1	1	1										1		0
130	S CI 2014 03050	2014	2013-14	0	19/06/2014	0	13/04/2015	10	0	4	1	1	0	0	25/07/2014	1	6	96	18	1	1	0	0			28/07/2009			Pharmaceutrical products wholesalers and manufacturers	"McCrae, 3938"	Current director and employee	"Stewart Peters Lawyers, Melbourne, 3000"	116 621 035	registered	0	Private Company	66600	5	1	59	0	3	1.196013289	5.142857143	9.900332226	42.57142857	4.909340659	37200	25/07/2014	1	0	1			1										1
131	S CI 2014 03069	2014	2013-14	0	20/06/2014	0	29/01/2015	7	0	0	1	1	999	999	18/07/2014	1	1	16	.	.	.	.	.	15/01/2017	23	24/07/2001	15	185	Unknown	"Diamond Creek, 3089"	director	"Dandanis & Associates Lawyers, Oakleigh, 3166"	097605000	deregistered	1	private company	2	2	2	155	1	1	0.930232558	4	7.408637874	31.85714286	12.95054945	.	18/07/2014	1	1	1				1	1		1						0
132	S CI 2014 03070	2014	2013-14	0	20/06/2014	0	29/01/2015	7	0	0	1	1	1	0	18/07/2014	1	1	4	19	0	1	0	0			29/08/2003			Surburban bin hire	"Diamond Creek, 3089"	Current director and employee	"Dandanis & Associates Lawyers, Oakleigh, 3166"	106 134 089	registered	0	Private Company	2	2	2	130	0	2	0.930232558	4	7.408637874	31.85714286	10.84615385	29110	18/07/2014	1	1	1				1	1		1						0
